spectrum,deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,rate_sum,width,eligible_A,eligible_B,commit_A,commit_B
flat,10,1.9696,0.3473,200,187,13,0,0,0.935,0.892,0.9616,0.9698,0.8501,0.965,0.8333,10,2,1.0,0.235
flat,30,1.7321,1.0,200,134,66,0,0,0.67,0.6022,0.7314,0.75,0.634,0.7461,0.625,10,6,1.0,0.835
flat,45,1.4142,1.4142,200,94,105,1,0,0.4724,0.4042,0.5416,0.5,0.5,0.5,0.5,8,8,0.97,0.96
flat,60,1.0,1.7321,200,56,144,0,0,0.28,0.2224,0.3459,0.25,0.366,0.2539,0.375,6,10,0.815,0.995
flat,80,0.3473,1.9696,200,14,186,0,0,0.07,0.0422,0.1141,0.0302,0.1499,0.035,0.1667,2,10,0.275,1.0
gauss,10,1.9696,0.3473,200,178,20,2,0,0.899,0.8491,0.9337,0.9698,0.8501,0.9575,0.8,16,4,1.0,0.555
gauss,30,1.7321,1.0,200,133,67,0,0,0.665,0.597,0.7268,0.75,0.634,0.7146,0.5833,14,10,1.0,0.99
gauss,45,1.4142,1.4142,200,104,95,1,0,0.5226,0.4534,0.5909,0.5,0.5,0.5,0.5,14,14,1.0,1.0
gauss,60,1.0,1.7321,200,58,140,2,0,0.2929,0.234,0.3598,0.25,0.366,0.2854,0.4167,10,14,0.985,1.0
gauss,80,0.3473,1.9696,200,20,180,0,0,0.1,0.0657,0.1494,0.0302,0.1499,0.0425,0.2,4,16,0.51,1.0
lorentz,10,1.9696,0.3473,200,171,29,0,0,0.855,0.7995,0.8971,0.9698,0.8501,0.9475,0.75,12,4,1.0,0.555
lorentz,30,1.7321,1.0,200,124,76,0,0,0.62,0.5511,0.6844,0.75,0.634,0.6936,0.5455,12,10,1.0,0.965
lorentz,45,1.4142,1.4142,200,99,100,1,0,0.4975,0.4287,0.5663,0.5,0.5,0.5,0.5,12,12,0.99,1.0
lorentz,60,1.0,1.7321,200,75,124,1,0,0.3769,0.3125,0.4459,0.25,0.366,0.3064,0.4545,10,12,0.965,1.0
lorentz,80,0.3473,1.9696,200,20,180,0,0,0.1,0.0657,0.1494,0.0302,0.1499,0.0525,0.25,4,12,0.46,1.0
peak,10,1.9696,0.3473,200,170,30,0,0,0.85,0.7939,0.8929,0.9698,0.8501,0.9311,0.6667,12,6,1.0,0.605
peak,30,1.7321,1.0,200,119,80,1,0,0.598,0.5286,0.6636,0.75,0.634,0.6885,0.5556,10,8,1.0,0.98
peak,45,1.4142,1.4142,200,100,99,1,0,0.5025,0.4337,0.5713,0.5,0.5,0.5,0.5,10,10,1.0,1.0
peak,60,1.0,1.7321,200,83,117,0,0,0.415,0.3489,0.4843,0.25,0.366,0.3115,0.4444,8,10,0.98,1.0
peak,80,0.3473,1.9696,200,24,176,0,0,0.12,0.082,0.1723,0.0302,0.1499,0.0689,0.3333,6,12,0.575,1.0
notch,10,1.9696,0.3473,200,200,0,0,0,1.0,0.9812,1.0,0.9698,0.8501,1.0,1.0,8,0,1.0,0.0
notch,30,1.7321,1.0,200,157,37,1,5,0.8093,0.7482,0.8583,0.75,0.634,0.7971,0.6667,8,4,0.96,0.52
notch,45,1.4142,1.4142,200,94,97,4,5,0.4921,0.4221,0.5625,0.5,0.5,0.5,0.5,6,6,0.875,0.83
notch,60,1.0,1.7321,200,32,162,0,6,0.1649,0.1193,0.2236,0.25,0.366,0.2029,0.3333,4,8,0.46,0.965
notch,80,0.3473,1.9696,200,0,198,0,2,0.0,0.0,0.019,0.0302,0.1499,0.0,0.0,0,8,0.0,0.99
