/Users/john-bramble/Projects/Physics/DiracKuramotoFramework/adler_two_channel_exploratory/energy_hazard_race.py:113: RuntimeWarning: All-NaN slice encountered
  return np.nanmin(fired, axis=1), np.maximum(E, 0.0).sum(axis=1)

=== hazard scale c = 1.0, channel B delayed by 0.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        1.000        0.485    0.485       0.978      +0.008
   20  0.883        1.000        0.910    0.910       0.902      +0.019
   30  0.750        1.000        0.991    0.991       0.777      +0.027
   40  0.587        1.000        0.999    0.999       0.592      +0.005
   45  0.500        1.000        1.000    1.000       0.500      +0.000
   50  0.413        0.999        1.000    0.999       0.395      -0.018
   60  0.250        0.993        1.000    0.993       0.232      -0.018
   70  0.117        0.911        1.000    0.911       0.096      -0.021
   80  0.030        0.483        1.000    0.483       0.021      -0.009

=== hazard scale c = 1.0, channel B delayed by 2.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        1.000        0.500    0.500       1.000      +0.030
   20  0.883        1.000        0.919    0.919       1.000      +0.117
   30  0.750        1.000        0.992    0.992       1.000      +0.250
   40  0.587        1.000        0.999    0.999       1.000      +0.413
   45  0.500        1.000        1.000    1.000       1.000      +0.499
   50  0.413        0.999        1.000    0.999       0.998      +0.584
   60  0.250        0.993        1.000    0.993       0.982      +0.732
   70  0.117        0.909        1.000    0.909       0.853      +0.736
   80  0.030        0.488        1.000    0.488       0.401      +0.371

=== hazard scale c = 1.0, channel B delayed by 8.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        1.000        0.499    0.499       1.000      +0.030
   20  0.883        1.000        0.907    0.907       1.000      +0.117
   30  0.750        1.000        0.992    0.992       1.000      +0.250
   40  0.587        1.000        0.999    0.999       1.000      +0.413
   45  0.500        1.000        1.000    1.000       1.000      +0.500
   50  0.413        0.999        1.000    0.999       0.999      +0.586
   60  0.250        0.994        1.000    0.994       0.994      +0.744
   70  0.117        0.912        1.000    0.912       0.912      +0.795
   80  0.030        0.481        1.000    0.481       0.481      +0.451

=== hazard scale c = 0.05, channel B delayed by 0.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        0.834        0.043    0.036       0.975      +0.005
   20  0.883        0.805        0.157    0.124       0.905      +0.022
   30  0.750        0.748        0.331    0.244       0.771      +0.021
   40  0.587        0.634        0.478    0.300       0.602      +0.015
   45  0.500        0.582        0.585    0.342       0.498      -0.002
   50  0.413        0.492        0.645    0.315       0.396      -0.018
   60  0.250        0.330        0.745    0.243       0.228      -0.022
   70  0.117        0.155        0.805    0.124       0.097      -0.020
   80  0.030        0.041        0.837    0.034       0.024      -0.006

=== hazard scale c = 0.05, channel B delayed by 2.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        0.836        0.042    0.035       0.992      +0.022
   20  0.883        0.806        0.155    0.126       0.965      +0.082
   30  0.750        0.747        0.329    0.245       0.897      +0.147
   40  0.587        0.649        0.494    0.321       0.784      +0.197
   45  0.500        0.584        0.577    0.336       0.702      +0.202
   50  0.413        0.476        0.645    0.309       0.580      +0.167
   60  0.250        0.332        0.750    0.248       0.392      +0.142
   70  0.117        0.160        0.800    0.128       0.188      +0.071
   80  0.030        0.040        0.833    0.033       0.046      +0.016

=== hazard scale c = 0.05, channel B delayed by 8.0 (pulse duration 4)
  phi   Born  P(A clicks)  P(B clicks)  P(both)  P(A first)  ratio-Born
   10  0.970        0.834        0.040    0.034       0.993      +0.023
   20  0.883        0.801        0.161    0.131       0.964      +0.081
   30  0.750        0.746        0.333    0.251       0.901      +0.151
   40  0.587        0.638        0.476    0.308       0.791      +0.204
   45  0.500        0.584        0.582    0.339       0.707      +0.207
   50  0.413        0.486        0.653    0.319       0.592      +0.179
   60  0.250        0.333        0.749    0.249       0.400      +0.150
   70  0.117        0.162        0.804    0.132       0.195      +0.078
   80  0.030        0.038        0.834    0.032       0.045      +0.015

run time 213 s
