
=== independent dephasing (rate 1) ===
 state                     t        C     c_A  c_A*c_B      DQ      ZQ   analytic
 Psi+                  0.000  1.00000  0.0000  0.00000  0.0000  1.0000    1.00000
 Psi+                  0.100  0.81873  0.0000  0.00000  0.0000  0.8187    0.81873
 Psi+                  0.250  0.60653  0.0000  0.00000  0.0000  0.6065    0.60653
 Psi+                  0.500  0.36788  0.0000  0.00000  0.0000  0.3679    0.36788
 Psi+                  0.693  0.25007  0.0000  0.00000  0.0000  0.2501    0.25007
 Psi+                  0.750  0.22313  0.0000  0.00000  0.0000  0.2231    0.22313
 Psi+                  1.000  0.13534  0.0000  0.00000  0.0000  0.1353    0.13534
 Psi+                  1.500  0.04979  0.0000  0.00000  0.0000  0.0498    0.04979
 Psi+                  2.000  0.01832  0.0000  0.00000  0.0000  0.0183    0.01832
 Psi+                  3.000  0.00248  0.0000  0.00000  0.0000  0.0025    0.00248
 Phi+                  0.000  1.00000  0.0000  0.00000  1.0000  0.0000    1.00000
 Phi+                  0.100  0.81873  0.0000  0.00000  0.8187  0.0000    0.81873
 Phi+                  0.250  0.60653  0.0000  0.00000  0.6065  0.0000    0.60653
 Phi+                  0.500  0.36788  0.0000  0.00000  0.3679  0.0000    0.36788
 Phi+                  0.693  0.25007  0.0000  0.00000  0.2501  0.0000    0.25007
 Phi+                  0.750  0.22313  0.0000  0.00000  0.2231  0.0000    0.22313
 Phi+                  1.000  0.13534  0.0000  0.00000  0.1353  0.0000    0.13534
 Phi+                  1.500  0.04979  0.0000  0.00000  0.0498  0.0000    0.04979
 Phi+                  2.000  0.01832  0.0000  0.00000  0.0183  0.0000    0.01832
 Phi+                  3.000  0.00248  0.0000  0.00000  0.0025  0.0000    0.00248
 Phi_tilt(0.2,0.8)     0.000  0.80000  0.0000  0.00000  0.8000  0.0000        nan
 Phi_tilt(0.2,0.8)     0.100  0.65498  0.0000  0.00000  0.6550  0.0000        nan
 Phi_tilt(0.2,0.8)     0.250  0.48522  0.0000  0.00000  0.4852  0.0000        nan
 Phi_tilt(0.2,0.8)     0.500  0.29430  0.0000  0.00000  0.2943  0.0000        nan
 Phi_tilt(0.2,0.8)     0.693  0.20006  0.0000  0.00000  0.2001  0.0000        nan
 Phi_tilt(0.2,0.8)     0.750  0.17850  0.0000  0.00000  0.1785  0.0000        nan
 Phi_tilt(0.2,0.8)     1.000  0.10827  0.0000  0.00000  0.1083  0.0000        nan
 Phi_tilt(0.2,0.8)     1.500  0.03983  0.0000  0.00000  0.0398  0.0000        nan
 Phi_tilt(0.2,0.8)     2.000  0.01465  0.0000  0.00000  0.0147  0.0000        nan
 Phi_tilt(0.2,0.8)     3.000  0.00198  0.0000  0.00000  0.0020  0.0000        nan
