 Gamma/K        t   rate(0)  x50 (Delta/K)  sqrt(G^2/4+2K^2)/K  Gamma/2K
     0.2      3.0    0.1048          1.538               1.418     0.100
     1.0      3.0    0.5390          1.284               1.500     0.500
    10.0      3.0    0.3735          5.088               5.196     5.000
   100.0     25.0    0.0400         50.009              50.020    50.000
  1000.0    250.0    0.0040        499.987             500.002   500.000
 Gamma/K       t  x50 (Delta/K)  formula  ratio
     1.5     1.0          3.708    1.601   2.32
     1.5     3.0          1.142    1.601   0.71
     1.5    10.0          1.147    1.601   0.72
     1.5    30.0          1.099    1.601   0.69
     2.0     1.0          3.758    1.732   2.17
     2.0     3.0          1.013    1.732   0.58
     2.0    10.0          1.036    1.732   0.60
     2.0    30.0          1.087    1.732   0.63
     3.0     1.0          3.916    2.062   1.90
     3.0     3.0          1.164    2.062   0.56
     3.0    10.0          0.926    2.062   0.45
     3.0    30.0          0.915    2.062   0.44
     4.0     1.0          4.137    2.449   1.69
     4.0     3.0          1.748    2.449   0.71
     4.0    10.0          0.987    2.449   0.40
     4.0    30.0          0.744    2.449   0.30
     5.0     1.0          4.410    2.872   1.54
     5.0     3.0          2.353    2.872   0.82
     5.0    10.0          1.902    2.872   0.66
     5.0    30.0          1.807    2.872   0.63
     7.0     1.0          5.081    3.775   1.35
     7.0     3.0          3.486    3.775   0.92
     7.0    10.0          3.149    3.775   0.83
     7.0    30.0          3.070    3.775   0.81
