gps_center,band_psd,n_avg
1256663507.0,1.792337e-46,63
1256663635.0,1.814919e-46,63
1256663763.0,1.813456e-46,63
1256663891.0,1.798863e-46,63
1256664019.0,1.813726e-46,63
1256664147.0,1.799162e-46,63
1256664275.0,1.805533e-46,63
1256664403.0,1.796963e-46,63
1256664531.0,1.827800e-46,63
1256664659.0,1.833512e-46,63
1256664787.0,1.817454e-46,63
1256664915.0,1.795156e-46,63
1256665152.0,1.797752e-46,63
1256665280.0,1.812124e-46,63
1256665408.0,1.816263e-46,63
1256665536.0,1.804417e-46,63
1256665664.0,1.861123e-46,63
1256665792.0,1.929973e-46,63
1256665920.0,1.849448e-46,63
1256666048.0,1.816765e-46,63
1256666176.0,1.827994e-46,63
1256666304.0,1.782673e-46,63
1256666432.0,1.818067e-46,63
1256666560.0,1.866864e-46,63
1256666688.0,1.789761e-46,63
1256666816.0,1.810110e-46,63
1256666944.0,1.801833e-46,63
1256667072.0,1.834383e-46,63
1256667200.0,1.829167e-46,63
1256667328.0,1.822461e-46,63
1256667456.0,1.848197e-46,63
1256667584.0,1.833897e-46,63
1256667712.0,1.833311e-46,63
1256667840.0,1.834258e-46,63
1256667968.0,1.831805e-46,63
1256668096.0,1.856103e-46,63
1256668224.0,1.860652e-46,63
1256668352.0,1.856957e-46,63
1256668480.0,1.841054e-46,63
1256668608.0,1.822220e-46,63
1256668736.0,1.834226e-46,63
1256668864.0,1.859415e-46,63
1256668992.0,1.812562e-46,63
1256669120.0,1.831944e-46,63
1256669248.0,1.829250e-46,63
1256669376.0,1.853250e-46,63
1256669504.0,1.868451e-46,63
1256669632.0,1.885968e-46,63
1256669760.0,1.940067e-46,63
1256669888.0,1.909227e-46,63
1256670016.0,1.890363e-46,63
1256670144.0,1.845062e-46,63
1256670272.0,1.814779e-46,63
1256670400.0,1.842114e-46,63
1256670528.0,1.838744e-46,63
1256670656.0,1.811714e-46,63
1256670784.0,1.812860e-46,63
1256670912.0,1.873398e-46,63
1256671040.0,1.798981e-46,63
1256671168.0,1.831462e-46,63
1256671296.0,1.806099e-46,63
1256671424.0,1.810916e-46,63
1256671552.0,1.884177e-46,63
